比赛项目,报名开启时间,报名渠道,创建人,分项规模,官网,完赛经历要求,体检报告,奖牌,官方邮箱,联系电话,运营单位,出签日期,省份,赛事等级,退出机制,报名截止时间,比赛路线,抽签,起点,状态,主办单位,比赛日期,报名费,缴费时间,总规模,最后编辑人,微信公众号,赛事
半程 / 短距离,2025-01-26 10:00,官网/微信/小程序,,7000/3000,https://http:..www.dream-marathon.com,半程或以上,可用完赛证书,,dream_marathon@163.com,13388436994,杭州立夏科技体育有限公司,,浙江,A,无,2025-02-28 17:00,,❌,杭州未来科技城学术交流中心,已结束,杭州市余杭区人民政府,2025-03-30 11:13,100/60,报名时缴费,10000,,杭州梦想小镇半程马拉松,杭州梦想小镇半程马拉松
半程,2025-02-20 10:00,官网/微信/小程序 / 数字心动 / 最酷 / 我要赛 / 跑跑网(马拉松报名) / 马拉马拉,,5000,https://www.world550.com,未提及,自行评估,,550huiyanbu@china550.org,17821357388,戈友文化传媒（上海）有限公司,,上海,A,无,2025-02-24 16:00,,❌,陈家镇自行车公园,已结束,上海市崇明区人民政府,2025-03-30 09:15,150,报名时缴费,5000,,550体育,上海长江半程马拉松赛 
全程 / 10km,2024-10-15 12:00,官网/微信/小程序,,6000/5000,https://wanjinshi-marathon.com.tw/,未提及,未提及,,wanjinshimarathon@gmail.com,(886)0958-725-204,動能策略行銷有限公司,2024-11-01 10:19,台湾,CT / 金标 / AIMS,2024年12月24日前可退60%报名费 ,2024-10-30 12:00,,✔️,,已结束,"新北市政府 / ""中華民國田徑協會""",2025-03-16 10:42,NT$1500/800,报名时缴费,11000,,,新北市万金石马拉松
全程 / 半程 / 短距离,2025-01-09 10:00,官网/微信/小程序,,3000/5000/10000,,未提及,自行评估,,qzty001@163.com,0777-3819766,广西盈动体育有限公司,2025-02-18 10:20,广西,B,无,2025-02-09 23:59,,✔️,和谐公园,已结束,广西壮族自治区体育局 / 钦州市人民政府,2025-03-16 10:19,180/160/60,报名时缴费,18000,,桂运动、钦州市文化广电体育和旅游局,钦州马拉松赛
半程 / 短距离,2025-01-16 10:00,官网/微信/小程序,,8000/7000,https://www.shangyu-marathon.com,,自行评估,,shangyumls@163.com,0575-82200455,广州博润体育科技有限公司,,浙江,A / 标牌,无,2025-02-16 17:00,,❌,上虞新体育中心,已结束,绍兴市上虞区人民政府,2025-03-30 00:00,100/40,报名时缴费,15000,,曹娥江半程马拉松赛,绍兴·上虞半程马拉松
半程 / 10km / 短距离,2024-10-21 12:00,官网/微信/小程序,,10000/9000/5000,,未提及,未提及,,,,,,台湾,CT / AIMS / WA,,2024-12-12 23:59,,❌,,已结束,,2025-03-02 15:41,NT$1000/80/500,报名时缴费,24000,,,臺南古都國際半程馬拉松
全程 / 半程 / 短距离,2025-01-09 10:00,官网/微信/小程序,,4000/8000/8000,,,,,ycmls520@163.com,025-87775902,南京善跑体育科技有限公司,2025-02-20 09:18,江苏,A / 标牌,出签前可退出,2025-02-09 18:00,https://docimg9.docs.qq.com/image/AgAACG-qqCGPY3C6FORLQqT4YicwD-0y.jpeg?w=1080&h=1527,✔️,盐城奥体中心,已结束,盐城市人民政府,2025-03-30 17:19,160/160/80,报名时缴费,20000,,盐城马拉松,盐城马拉松
半程 / 短距离,2025-02-06 10:00,官网/微信/小程序 / 数字心动,,7000/3000,http://zhongloumarathon.umaysports.cn,未提及,自行评估,,zhongloumarathon@163.com,19905197127,江苏有迈体育发展股份有限公司,2025-03-07 15:33,江苏,A,无,2025-03-02 18:00,,✔️,晋陵体育西林全民健身中心,已结束,常州市钟楼区人民政府 / 常州市体育局,2025-03-30 15:57,150/60,报名时缴费,10000,,钟楼半程马拉松、有迈路跑,常州钟楼半程马拉松
全程 / 半程 / 短距离,2025-01-02 16:18,官网/微信/小程序 / 数字心动 / 马拉马拉,,4000/8000/8000,https://www.jz-marathon.com,未提及,自行评估,,jingzhoumarathon@163.com,13260675696,广州博润体育科技有限公司,2025-03-07 00:00,湖北,标牌,无,2025-03-03 23:59,,✔️,,已结束,荆州市人民政府,2025-03-30 14:22,180/150/80,报名时缴费,20000,,荆州马拉松,荆州马拉松
半程 / 短距离,2025-01-19 10:00,官网/微信/小程序 / 数字心动 / 马拉马拉,,20000/10000,http://www.yzmls.com,未提及,自行评估,"https://docimg1.docs.qq.com/image/AgAACG-qqCHkO0LqKulL4bRvm0rz2Avg.png?w=1080&h=608, https://docimg9.docs.qq.com/image/AgAACG-qqCHbpnPD-4NA0r92qJWKO_cP.png?w=1080&h=608",yzmls@yzmls.com,18618329968,中奥路跑(北京)体育管理有限公司,2025-02-13 16:17,江苏,A / 金标,无,2025-01-25 10:00,,✔️,扬州市民中心广场,已结束,扬州市人民政府,2025-03-30 09:43,180/50,中签后缴费,30000,,扬州马拉松,扬州半程马拉松
半程 / 短距离,2025-01-15 10:00,官网/微信/小程序 / 数字心动,,5000/3000,https://hirunsport.com,半程或以上,可用完赛证书,,hirunkefu@163.com,18248484836,杭州嗨跑体育管理有限公司,,浙江,A,2025年1月22日（含）之前退出退还80%报名费，组委会将在收到退出申请后一周内办理退款，1月22日之后不可退出。,2025-01-22 18:00,,❌,乐清市体育中心,已结束,温州市体育局 / 乐清市人民政府,2025-03-23 09:56,120/60,报名时缴费,8000,,乐清半程马拉松,乐清半程马拉松
全程 / 短距离,2024-11-08 10:00,官网/微信/小程序,,25000/10000,https://www.cqmarathon.com,半程或以上,未提及,"https://docimg2.docs.qq.com/image/AgAACG-qqCFMPLrY9_lGfq93q747H62J.jpeg?w=1280&h=3188, https://docimg3.docs.qq.com/image/AgAACG-qqCFWEDJhtYNHQYof2QHBlHab.png?w=672&h=540",cqmarathon@163.com,,重庆重马体育发展有限公司,2024-12-05 10:27,重庆,A / 金标 / AIMS / CMM,无,2024-11-15 10:00,https://docimg1.docs.qq.com/image/AgAACG-qqCHnblzpM11Dv7PV81Y6B1JJ.jpeg?w=1280&h=906,✔️,海棠烟雨公园,已结束,重庆市体育局 / 重庆市南岸区人民政府 / 重庆市巴南区人民政府,2025-03-02 09:20,200/120,报名时缴费,35000,,重马体育,重庆马拉松
10km / 短距离,2025-02-08 09:00,官网/微信/小程序,,7000/3000,https://www.macao10k.com,未提及,未提及,,macao10k@sport.gov.cn,(853)28236363,,,澳门,MC / AIMS,限期付费更改项目，无退出机制,2025-03-01 00:00,,❌,西湾湖广场,已结束,澳门特别行政区体育局 / 金沙中国有限公司 / 澳门田径总会,2025-03-16 09:53,MOP200/70,报名时缴费,10000,,澳门体育,澳门国际十公里长跑赛
全程 / 半程 / 短距离,2024-12-31 10:00,官网/微信/小程序 / 第一赛道,,7000/8000/8000,http://www.qy-marathon.com/,半程或以上,现场核验,,qy@gustomail.cn,,广东新中体育集团有限公司,2025-02-12 09:52,广东,A,1.退赛退费：（1）已提交报名信息及支付的选手，在退改服务期限内，可在订单页面自行办理退费服务。（2）完成缴费后24小时内的报名订单，申请退赛退费的将不收取任何费用，报名费将在申请后1个工作日内全额原路退回。（3）完成缴费后超过24小时的报名订单，申请退赛退费的不论项目均需收取20元/次的服务费，扣除相应服务费后剩余费用在申请后1个工作日内原路退回。2.改换项目：（1）需要更换项目的选手，在退改服务截止前，可先进行退赛退费操作后，重新报名需改换的项目。（2）从短距离项目改长距离项目者，还须符合长距离项目参赛条件并通过审核后方能获得参赛资格。3.退改服务期限：2025年2月15日退费服务系统关闭，将不再受理任何退费申请。,2025-02-05 18:00,,✔️,清远体育馆,已结束,清远市人民政府 ,2025-03-16 09:50,180/160/100,报名时缴费,23000,,第一赛道、清远马拉松,清远马拉松赛
半程 / 短距离,2025-01-13 10:00,官网/微信/小程序,,4000/2000,http://daishanmarathon.com,未提及,未提及,,dshjmarathon@163.com,0580-4476012,北京中迹体育管理有限公司,,浙江,A,无,2025-01-15 17:00,https://docimg9.docs.qq.com/image/AgAACG-qqCGbfHC7hP1LIpEU_lZJ9kW_.jpeg?w=1280&h=1810,❌,岱山体育馆,已结束,岱山县人民政府,2025-03-30 09:29,150/60,报名时缴费,6000,,岱山海岬半程马拉松,岱山海岬半程马拉松
全程 / 半程 / 短距离,2024-12-30 10:00,官网/微信/小程序 / 数字心动,,3000/5000/7000,https://www.qujingluoping-marathon.saihuitong.com,马拉松项目需半程以上完赛经历,现场核验,,luoping_marathon@126.com,0871-65629970,,2025-02-01 10:12,云南,A,,2025-01-25 18:00,,✔️,罗平体育中心,已结束,云南省体育局 / 云南省文化和旅游局 / 云南省民族宗教事务委员会 / 曲靖市人民政府,2025-02-23 10:00,200/150/80,,15000,,2025曲靖罗平马拉松,曲靖罗平马拉松
半程 / 短距离,2025-01-08 10:00,官网/微信/小程序 / 润赛美佳 / 数字心动,,4000/6000,,未提及,未提及,,ztdjkgs@163.com,13399832830,成都中体大健康体育文化传播有限公司,,四川,A,无,2025-01-28 18:00,,❌,远洋广场,已结束,犍为县人民政府 / 四川省田径协会,2025-03-15 11:02,160/80,报名时缴费,10000,,中体大健康,乐山犍为茉莉之乡半程马拉松
全程 / 半程 / 短距离,2025-01-13 10:00,官网/微信/小程序 / 数字心动,,2000/5000/3000,,半程或以上 / 10km及以上,自行评估,,jiangyoumarathon@163.com,028-62077702,四川体产赛事管理有限公司,,四川,A,无,2025-02-13 17:00,,❌,江油市体育中心,已结束,江油市人民政府,2025-03-02 10:16,150/120/60,报名时缴费,10000,,江油太白杯马拉松,江油马拉松
全程 / 半程 / 短距离,2025-01-18 10:00,数字心动,,3000/7000/5000,,未提及,自行评估,,,15252484774,,2025-02-17 15:22,江苏,A / 标牌,,2025-02-06 23:59,,✔️,兰溪公园,已结束,南京市浦口区人民政府,2025-03-09 10:48,150/120/60,报名时缴费,15000,,文旅浦口,南京浦口马拉松
全程 / 半程 / 10km / 短距离,2025-01-15 10:00,汇跑参赛助手 / 数字心动,,1500/5000/1500/2000,,未提及,自行评估,,,19073195101,,,湖南,A,无,2025-03-14 17:00,,❌,武陵路与玉泉路交叉口,已结束,张家界市武陵源区人民政府 / 张家界武陵源风景名胜区和国家森林公园管理局,2025-03-30 09:59,150/120/80/60,报名时缴费,10000,,张家界武陵源马拉松,张家界武陵源马拉松
半程 / 短距离,2024-11-20 10:00,官网/微信/小程序 / 数字心动,,16000/6000,,未提及,未提及,,bojiesports@126.com,13529388388,四川博捷体育文化传播有限公司,2025-01-01 15:08,四川,A / 白金 / AIMS,无,2024-12-20 22:00,https://docimg1.docs.qq.com/image/AgAACG-qqCFDbkF7BIBKspQ-KYrU3uvS.jpeg?w=1080&h=1512,✔️,仁寿体育场,已结束,仁寿县人民政府,2025-02-23 15:07,180/80,中签后缴费,22000,,眉山仁寿半程马拉松,眉山仁寿半程马拉松
半程 / 短距离,2025-01-18 12:00,官网/微信/小程序 / 数字心动,,7000/5000,http://www.jslsmls.com,未提及,自行评估,,jslsmls@163.com,,江苏有迈体育发展股份有限公司,2025-02-16 15:28,江苏,A,,2025-02-10 18:00,,✔️,致远路与涌泉路交叉口,已结束,南京市溧水区人民政府,2025-03-02 17:16,120/60,,12000,,南京溧水半程马拉松,南京溧水半程马拉松
全程 / 半程 / 短距离,2024-12-31 10:00,官网/微信/小程序 / 马拉马拉 / 数字心动,,2000/3000/5000,https://www.ya-marathon.com,未提及,未提及,,yamarathon@163.com,13260676179,,,湖北,B,无,2025-02-21 17:00,,❌,湖北远安桃花岛生态公园,已结束,远安县人民政府,2025-03-16 09:14,150/120/50,报名时缴费,10000,,远安田野马拉松,远安马拉松
半程 / 短距离,2025-01-10 10:00,官网/微信/小程序 / 最酷 / 润赛美佳 / 跑跑网(马拉松报名),,5000/8000,https://www.lxmarathon.com,未提及,必须,,1512768748@qq.com,13858990321,浙江青鸟捷出体育科技有限公司,,浙江,B,无,2025-03-05 14:00,,❌,兰溪市府广场-府前广场,已结束,兰溪市人民政府 / 浙江省马拉松及路跑协会,2025-03-23 17:20,100/50,报名时缴费,13000,,兰溪文旅,浙江兰溪乡村半程马拉松赛
全程 / 半程 / 短距离,2025-01-27 16:00,官网/微信/小程序 / 数字心动 / 马拉马拉 / 跑跑网(马拉松报名),,3000/5000/7000,http://xiantao-marathon.com,未提及,自行评估,,marathonhubei@126.com,19720273211,,2025-03-04 13:42,湖北,A,无,2025-02-27 16:00,,✔️,荣怀学校,已结束,湖北省体育局 / 仙桃市人民政府,2025-03-30 14:36,180/120/80,报名时缴费,15000,,仙桃体育,仙桃马拉松
全程 / 半程 / 短距离,2024-12-23 10:00,官网/微信/小程序 / 第一赛道 / 数字心动,,4000/7000/4000,https://www.fenghuataohuamarathon.com,半程或以上 / 10km及以上,可用完赛证书,,fenghuamarqathon@luyuesport.com,13534392052,路越（上海）体育发展有限公司,,浙江,A,无,2025-02-28 18:00,,❌,奉化体育场,已结束,宁波市奉化区人民政府,2025-03-22 00:00,150/120/100,报名时缴费,15000,,奉化马拉松,奉化马拉松
半程 / 短距离,2024-12-16 16:00,官网/微信/小程序 / 数字心动,,8000/7000,https://www.sherowm.com,未提及,必须,,,13368251109,江北区文化旅游开发有限公司 / 开承体育文化产业（重庆）有限公司,2025-02-12 09:45,重庆,A,无,2025-01-15 23:59,,✔️,鎏嘉码头,已结束,重庆市江北区人民政府 / 重庆市妇女联合会 / 重庆广播电视集团（总台）,2025-03-23 09:46,168/98,报名时缴费,15000,,重庆女马,重庆女子半程马拉松
半程 / 短距离,2025-01-03 10:00,官网/微信/小程序 / 汇跑参赛助手,,5000/2000,https://yangshan.marathon.org.cn,未提及,自行评估,,kefu@hsqmjs.com,18921166253,无锡问源体育文化有限公司 / 成都双遗体育产业发展有限公司,2025-01-23 17:53,江苏,A,3月2日前可退出,2025-01-15 17:00,,✔️,,已结束,无锡市惠山区人民政府,2025-03-30 17:16,160/100,报名时缴费,7000,,,阳山半程马拉松
全程 / 半程 / 短距离,2024-12-05 12:00,官网/微信/小程序 / 最酷,,2000/4000/4000,,未提及,未提及,,,17316784625,重庆云动风行体育文化传播有限公司,,重庆,A,无,2025-01-23 23:59,https://docimg6.docs.qq.com/image/AgAACG-qqCFLD5fXuFdBN5m77vUYCyMo.png?w=1080&h=1064,❌,铜梁龙城天街,已结束,重庆市铜梁区人民政府,2025-02-23 10:21,150/120/60,报名时缴费,10000,,重庆铜梁龙马拉松,重庆铜梁马拉松
半程 / 短距离,2025-01-16 10:00,官网/微信/小程序,,3000/2000,,未提及,自行评估,,pysthmarathon@163.com,19079185632,江西汗青体育有限发展公司,,江西,B,无,2025-02-06 18:00,https://docimg6.docs.qq.com/image/AgAACG-qqCHPOjjTAwFHQoCjJno92ru8.jpeg?w=1280&h=905,❌,天子河公园,已结束,南昌高新技术产业开发区管委会 / 南昌市体育局 / 南昌市农业农村局 / 南昌市文化广电新闻出版旅游局,2025-03-16 15:28,100/50,报名时缴费,5000,,云动江西,南昌鄱阳湖半程马拉松
全程 / 半程 / 短距离,2024-12-27 10:00,官网/微信/小程序,,2000/4000/6000,,,,,,17316784625,重庆云动风行体育文化传播有限公司,,重庆,A,无,2025-02-25 23:59,https://docimg3.docs.qq.com/image/AgAACG-qqCFzj-UCxzVHfbVtksNVOu7V.png?w=955&h=1668,❌,三合湖湿地公园,已结束,垫江县人民政府,2025-03-23 21:20,150/120/60,报名时缴费,12000,,重庆垫江马拉松,重庆垫江马拉松
全程 / 半程 / 短距离,2024-12-26 10:00,官网/微信/小程序,,3000/7000/5000,https://www.sqmarathon.com,未提及,自行评估,,xq-marathon@xempower.com.cn,025-87775902,南京魔盒信息科技有限公司,2025-01-25 17:55,江苏,A,无,2025-01-15 18:00,,✔️,项王故里,已结束,宿迁市人民政府,2025-03-30 13:08,160/160/100,报名时缴费,15000,,宿迁城市马拉松,宿迁马拉松
全程 / 半程 / 中距离,2024-11-27 10:00,官网/微信/小程序 / 马拉马拉 / 数字心动,,15000/10000/15000,https://www.wuhanmarathon.org,未提及,未提及,,apply@wuhanmarathon.org,027-88712733,武汉体育发展投资有限公司 / 武汉汉马体育管理有限公司,2024-12-20 16:12,湖北,A / 金标 / CMM,无,2024-12-06 10:00,,✔️,沿江大道与三阳路交叉口,已结束,武汉市人民政府 / 湖北省体育局,2025-03-23 10:48,200/150/100,中签后缴费,40000,,武汉马拉松,武汉马拉松
全程 / 半程,2025-01-18 10:00,官网/微信/小程序 / 数字心动,,8000/12000,https://ningbomarathon.shuzixindong.com,未提及,自行评估,,competition@dafengsc.cn,19357652870,浙江大丰体育文化发展有限公司,2025-02-10 09:40,浙江,A,,2025-01-24 17:00,https://docimg4.docs.qq.com/image/AgAACG-qqCE0xIijTb9Nr6iKDnKU-i1O.png?w=1080&h=1657,✔️,阳光广场,已结束,浙江省体育局 / 宁波市人民政府,2025-03-23 18:10,180/150,中签后缴费,20000,,宁波马拉松,宁波马拉松
全程 / 半程 / 短距离,2025-01-25 10:00,数字心动,,2000/3000/7000,,未提及,自行评估,,,023-67302960,重庆千君万马体育发展有限公司 / 重庆炫豹体育文化产业有限公司,,重庆,A,无,2025-03-01 17:00,,❌,兴龙湖公园,已结束,中共重庆市永川区委 / 重庆市永川区人民政府,2025-03-16 09:29,180/150/60,报名时缴费,12000,,,永川马拉松
半程 / 中距离 / 短距离,2025-01-20 10:00,官网/微信/小程序 / 马拉马拉 / 润赛美佳 / 最酷 / 跑跑网(马拉松报名),,3000/1000/1000,,未提及,自行评估,,1423394986@qq.com,15871412919,武汉艾斯未来文化传媒有限公司 / 湖北省梁子湖文化体育发展有限公司,2025-03-05 13:41,湖北,B,有候补,2025-02-20 10:00,,✔️,梧桐湖码头,已结束,鄂州市梁子湖区人民政府 / 鄂州市文化和旅游局（体育局）,2025-03-30 17:41,100/40/20,中签后缴费,5000,,鄂州梁子湖半程马拉松,鄂州梁子湖半程马拉松
全程,2025-01-15 10:00,中国田径协会竞赛管理系统,,100,https://www.athletics.org.cn,达到马拉松二级运动员水平,未提及,,mls@athletics.org.cn,18057164230,华润文化体育发展有限公司,,广东,A,,2025-01-20 17:00,,❌,深圳湾体育中心,已结束,深圳市人民政府,2025-02-23 11:28,,,100,,,深港马拉松赛暨第十五届全国运动会田径（马拉松）测试赛
半程 / 中距离 / 短距离,2025-02-17 16:00,数字心动,,3000/2000/5000,,半程或以上,必须,,WanfenglinMalasong@163.com,15338697179,中体万向（北京）体育发展有限公司,,贵州,B,无,2025-03-05 17:13,,❌,阳光谷旅游度假区,已结束,黔西南州人民政府,2025-03-23 09:53,0/0/0,报名时缴费,10000,,万峰林马拉松,万峰林警察半程马拉松
